ID,N_RequisitoOriginal,Nombre_criterio,MunEst,Ley_Reglemento,Nombre,Artículo,Fracción y/o Inciso
1,"Conforme al acuerdo mediante el cual se solicitan requisitos y documentación para este trámite, emitido por el Tesorero Municipal y publicado en la gaceta municipal en el mes de junio de 2017.","conforme al acuerdo mediante el cual se solicitan requisitos y documentación para este trámite, emitido por el tesorero municipal y publicado en la gaceta municipal en el mes de junio de 2017.",Municipal,Acuerdo,Acuerdo mediante el cual se solicitan requisitos y documentación para los trámites de Constancia de Identificación de Áreas Municipales y Constancia de no Afectación a Bienes del Dominio Público Municipal,,
2,"En caso que si invadan las áreas municioales, no se entrega una constancia. Se le entrega un documento donde se hace le hacen observaciones de como invade su propiedad las áreas municipales y deberán ser resueltas por el interesado.","en caso que si invadan las áreas municioales, no se entrega una constancia. se le entrega un documento donde se hace le hacen observaciones de como invade su propiedad las áreas municipales y deberán ser resueltas por el interesado.",Municipal,Acuerdo,Acuerdo mediante el cual se solicitan requisitos y documentación para los trámites de Constancia de Identificación de Áreas Municipales y Constancia de no Afectación a Bienes del Dominio Público Municipal,,
3,"Se entrega la constancia, cuando se verifica que su inmueble no invade las áreas municipales.","se entrega la constancia, cuando se verifica que su inmueble no invade las áreas municipales.",Municipal,Acuerdo,Acuerdo mediante el cual se solicitan requisitos y documentación para los trámites de Constancia de Identificación de Áreas Municipales y Constancia de no Afectación a Bienes del Dominio Público Municipal,,
4,Se realiza una revisión para identificar si el inmuebles es propiedad municipal,se realiza una revisión para identificar si el inmuebles es propiedad municipal,Municipal,Acuerdo,Acuerdo mediante el cual se solicitan requisitos y documentación para los trámites de Constancia de Identificación de Áreas Municipales y Constancia de no Afectación a Bienes del Dominio Público Municipal,,
5,La exhibición de la documentación original donde se demuestre el pago doble realizado o la improcedencia,la exhibición de la documentación original donde se demuestre el pago doble realizado o la improcedencia,Estatal,Codigo,Código Fiscal del Estado de Nuevo León.,23,
6,La Dirección de Control Interno e Investigación iniciara una investigación para confirmar si existe o no la Responsabilidad Administrativa.,la dirección de control interno e investigación iniciara una investigación para confirmar si existe o no la responsabilidad administrativa.,Estatal,Ley,Ley de Responsabilidades Administrativas del Estado de Nuevo León,94,
7,Confirmar si existe o pudieran existir actos contrarios a la Ley de Obras Públicas para el Estado y Municipios de Nuevo León o las leyes surjan de ella.,confirmar si existe o pudieran existir actos contrarios a la ley de obras públicas para el estado y municipios de nuevo león o las leyes surjan de ella.,Estatal,Ley,Ley de Obras Públicas para el Estado y Municipios de Nuevo León.,121,
8,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,
9,Sujeto a la identificación y ubicación del documento dentro de las colecciones del acervo Histórico,sujeto a la identificación y ubicación del documento dentro de las colecciones del acervo histórico,Estatal,Ley,Ley de Transparencia y Acceso a la Información Pública del Estado de Nuevo León,157,
10,• Contar con el pago del impuesto predial al corriente.,contar con el pago del impuesto predial al corriente.,Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,57,
11,• No tener construcción omisa detectada.,no tener construcción omisa detectada.,Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,57,
