#,Nombre Requisito,Fed - Estatal - Municipal,Ley - reglamento,Nombre,Artículo,Fracción y/o Inciso
0,No aplica,No disponible,No aplica,No aplica,No aplica,No aplica
1,Presentar solicitud por escrito así como los medios probatorios con los que cuente para acreditar los hechos denunciados.,Municipal,Reglamento,Reglamento de la Comisión de Honor y Justicia de los Cuerpos de Seguridad Pública y Vialidad del Municipio de Monterrey.,15,I
2,"Presentar solicitud por escrito que incluya lo siguiente:
 Mencionar bajo protesta de decir verdad lo ocurrido sobre al acto o actos reclamados
 Señalar las irregularidades que usted considere sucedieron en el procedimiento de licitación y ejecución del contrato respectivo
 Mencionar claramente los motivos de su inconformidad
 Documentos ofrecidos como prueba.",Estatal,Ley,Ley de Obras Públicas para el Estado y Municipios de Nuevo León.,119,No aplica
3,Documentos ofrecidos como prueba.,No disponible,No aplica,No aplica,No aplica,No aplica
4,"ID oficial (INE, pasaporte u otra identificación oficial vigente con fotografía).",No disponible,No aplica,No aplica,No aplica,No aplica
5,Presentar la denuncia firmada por el interesado.,No disponible,No aplica,No aplica,No aplica,No aplica
6,"Presentar solicitud en cualquiera de las opciones disponibles y anexar en caso de contar con ello, documentos que faciliten la busqueda de la información (opcional).",Estatal,Ley,Ley de Transparencia y Acceso a la Información Pública del Estado de Nuevo León,147,No aplica
7,Identificación oficial.,Estatal,Ley,Ley de Protección de Datos Personales en posesión de sujetos obligados del Estado de Nuevo León,63,I
8,Presentar solicitud en cualquiera de las opciones disponibles.,Estatal,Ley,Ley de Protección de Datos Personales en posesión de sujetos obligados del Estado de Nuevo León,63,No aplica
9,Acta de nacimiento.,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
10,Comprobante de domicilio no mayor a dos meses de antigüedad.,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
11,"Credencial de elector de madre, padre o tutor.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
